x,y,z,success
-79.4476,24.8577,-608.673,1
-79.3765,24.6341,-610.018,1
-79.2352,24.5679,-608.676,1
-79.1982,24.5389,-609.677,1
-79.0705,24.3415,-607.865,1
-79.1248,24.4236,-608.34,1
-79.2007,24.2469,-608.272,1
-79.2701,24.2505,-609.184,1
-79.4196,24.2225,-609.471,1
-79.6446,24.2524,-611.193,1
-79.5044,24.3027,-609.271,1
-79.4338,24.2522,-609.268,1
-79.3498,24.383,-609.128,1
-79.3247,24.5152,-609.173,1
-79.2957,24.7348,-608.954,1
-79.4653,24.7471,-610.596,1
-79.2789,24.7016,-608.45,1
-79.3526,24.7722,-609.603,1
-79.3639,24.8452,-609.705,1
-79.2191,24.7721,-608.653,1
-79.2458,24.9633,-609.757,1
-79.1645,24.8807,-608.449,1
-79.4138,24.9263,-610.302,1
-79.3423,24.768,-609.258,1
-79.3853,24.8447,-610.286,1
-79.4522,24.7249,-610.069,1
-79.3221,24.8609,-610.589,1
-79.2352,24.7349,-608.844,1
-79.2951,24.771,-608.956,1
-79.3648,24.7514,-608.428,1
-79.4372,24.6309,-609.051,1
-79.3224,24.5312,-608.24,1
-79.2955,24.5134,-607.932,1
-79.388,24.7967,-609.785,1
-79.3753,24.8158,-609.778,1
-79.3644,24.8922,-610.169,1
-79.3391,24.9182,-608.993,1
-79.3869,24.9546,-609.893,1
-79.2349,24.8979,-607.179,1
-79.2673,24.9895,-608.78,1
-79.3021,24.9831,-608.493,1
-79.2776,25.1253,-609.533,1
-79.2983,25.0827,-608.906,1
-79.3122,25.1014,-608.473,1
-79.3872,25.0922,-609.062,1
-79.3097,25.002,-608.578,1
-79.3803,25.0414,-609.614,1
-79.1076,24.9644,-607.383,1
-79.2767,24.8236,-608.637,1
-79.3201,24.7996,-608.953,1
-79.3595,24.5466,-608.119,1
-79.4049,24.3168,-608.411,1
-79.4709,24.2074,-608.359,1
-79.4556,24.1053,-609.013,1
-79.3182,24.1187,-608.392,1
-79.3844,24.213,-609.025,1
-79.5125,24.2421,-610.77,1
-79.3087,24.1227,-608.455,1
-79.3629,24.0624,-608.799,1
-79.2563,24.0577,-608.791,1
-79.2676,24.024,-608.485,1
-79.4103,24.1526,-609.886,1
-79.3289,24.0124,-608.875,1
-79.3867,24.0027,-609.328,1
-79.3684,23.996,-609.374,1
-79.3821,23.777,-608.906,1
-79.3493,23.6941,-607.614,1
-79.4126,23.6876,-609.887,1
-79.24,23.5205,-608.14,1
-79.2258,23.4052,-609.24,1
-79.356,23.1846,-608.356,1
-79.4063,23.1285,-609.423,1
-79.475,23.2008,-610.034,1
-79.5003,23.0766,-610.181,1
-79.4392,22.9526,-610.541,1
-79.1943,22.9009,-609.347,1
-79.1331,22.9201,-609.247,1
-79.2017,22.7949,-609.304,1
-79.1978,22.8184,-609.653,1
-79.0649,22.5352,-608.595,1
-78.9087,22.417,-609.15,1
-78.5842,22.2381,-608.082,1
-78.1932,22.2569,-607.677,1
-77.8681,22.1197,-606.272,1
-77.9058,22.0599,-607.42,1
-77.9615,22.0425,-607.2,1
-78.1318,21.9862,-607.989,1
-77.8896,21.9299,-605.47,1
-78.0334,21.9816,-606.079,1
-77.9803,22.2768,-607.404,1
-77.8226,22.4221,-606.162,1
-77.9152,22.7793,-606.91,1
-77.8673,23.0358,-606.905,1
-77.7974,22.955,-605.073,1
-77.9928,23.0529,-606.745,1
-78.0514,23.2144,-607.674,1
-77.9759,23.2785,-606.96,1
-77.9843,23.341,-607.243,1
-78.0498,23.3055,-606.576,1
-78.0455,23.3485,-607.785,1
-78.2034,23.1171,-608.066,1
-78.2328,23.027,-608.431,1
-78.1999,22.9444,-607.263,1
-78.0747,22.8834,-606.487,1
-78.0753,22.8827,-606.545,1
-78.0669,22.8966,-606.147,1
-78.1204,22.7409,-606.517,1
-78.0902,22.9493,-606.316,1
-78.1307,22.9635,-606.43,1
-78.0061,23.1255,-606.346,1
-78.0581,23.2282,-608.305,1
-77.9541,23.2487,-606.714,1
-77.9358,23.3229,-606.301,1
-77.9752,23.4637,-607.259,1
-77.9452,23.5948,-606.291,1
-77.9049,23.8404,-608.1,1
-77.7652,23.9818,-607.315,1
-77.452,23.8884,-606.832,1
-77.3286,23.9222,-606.431,1
-77.1061,24.1938,-607.87,1
-76.6653,24.4803,-606.954,1
-76.3873,24.8072,-606.926,1
-76.0358,24.7439,-606.228,1
-75.9528,24.9442,-607.961,1
-75.7893,24.9267,-607.537,1
-75.72,24.943,-606.824,1
-75.4983,25.0051,-605.383,1
-75.6151,25.2149,-607.402,1
-75.5452,25.2041,-607.367,1
-75.5675,25.288,-606.988,1
-75.6469,25.2437,-606.31,1
-75.7603,25.3848,-607.976,1
-75.6707,25.3504,-607.367,1
-75.6251,25.2719,-606.568,1
-75.7203,25.1473,-607.402,1
-75.6703,25.2495,-607.943,1
-75.827,25.1988,-607.063,1
-75.8316,25.2845,-607.699,1
-75.9886,25.0989,-607.958,1
-75.983,25.0301,-606.971,1
-75.9292,25.0083,-607.506,1
-76.0227,25.1478,-608.234,1
-75.8864,25.3589,-607.539,1
-75.8024,25.7093,-608.416,1
-75.6977,25.9289,-607.247,1
-75.6411,25.9594,-606.721,1
-75.6369,26.1495,-608.21,1
-75.5414,26.1577,-606.858,1
-75.509,26.5394,-607.106,1
-75.5124,26.6894,-608.004,1
-75.4748,26.8082,-607.221,1
-75.3815,26.7744,-606.479,1
-75.336,26.7773,-606.314,1
-75.3259,26.6962,-606.565,1
-75.3091,26.7509,-607.182,1
-75.3158,26.6345,-606.594,1
-75.3094,26.5333,-605.907,1
