x,y,success
969.569,551.322,1
969.466,551.457,1
969.645,551.792,1
969.557,551.585,1
969.334,551.344,1
969.403,551.831,1
969.166,552.114,1
969.635,552.33,1
969.282,552.354,1
969.259,552.532,1
969.529,552.445,1
969.586,552.576,1
969.705,552.265,1
969.821,552.534,1
969.883,552.507,1
969.924,552.617,1
969.629,552.803,1
969.497,552.775,1
969.663,552.74,1
969.549,552.5,1
969.73,552.659,1
969.83,552.678,1
969.517,552.594,1
969.159,552.645,1
969.119,552.601,1
969.36,552.566,1
969.318,552.616,1
969.533,552.438,1
969.325,552.445,1
969.458,552.323,1
969.035,552.272,1
969.149,552.189,1
968.971,552.109,1
968.936,552.077,1
969.074,551.967,1
969.215,551.939,1
968.904,551.888,1
968.91,551.832,1
968.927,551.712,1
968.897,551.478,1
969.131,551.239,1
969.008,551.352,1
968.914,551.383,1
968.858,551.282,1
968.628,551.447,1
968.465,551.43,1
968.652,551.557,1
968.72,551.615,1
968.643,551.71,1
968.602,551.401,1
968.678,551.468,1
968.752,551.197,1
969.05,551.122,1
969.248,551.042,1
969.066,551.112,1
969.041,551.06,1
969.417,551.014,1
969.598,550.481,1
969.363,549.778,1
969.535,550.184,1
969.531,550.74,1
969.752,550.564,1
970.062,550.744,1
970.027,550.669,1
970.587,550.419,1
970.516,550.225,1
970.615,550.131,1
970.635,549.991,1
970.703,549.813,1
970.933,549.739,1
971.081,549.578,1
971.419,549.407,1
971.354,549.132,1
971.43,548.823,1
971.516,548.625,1
971.527,547.145,1
971.701,546.73,1
972.142,547.826,1
971.963,547.809,1
972.376,547.526,1
972.666,547.119,1
972.899,546.754,1
973.045,546.231,1
972.995,545.917,1
973.204,545.487,1
973.644,545.279,1
974.138,545.108,1
974.424,544.958,1
974.934,544.862,1
975.121,544.636,1
974.883,544.233,1
974.52,543.972,1
973.969,543.5,1
974.224,542.949,1
973.899,543.048,1
973.54,544.271,1
973.229,544.916,1
973.01,545.362,1
971.739,547.008,1
969.822,549.028,1
967.721,551.433,1
965.578,554.193,1
963.405,556.5,1
961.845,558.242,1
961.131,559.325,1
960.493,559.178,1
960.093,558.446,1
960.096,558.009,1
959.648,557.542,1
959.942,557.008,1
959.803,556.832,1
959.936,557.153,1
959.79,557.728,1
959.738,557.95,1
959.432,558.173,1
959.173,558.557,1
959.586,558.827,1
959.749,559.206,1
960.483,559.715,1
961.021,559.769,1
961.212,559.554,1
961.478,559.188,1
961.901,558.798,1
962.069,558.675,1
962.115,558.702,1
962.291,558.58,1
962.409,558.441,1
962.205,558.421,1
962.432,558.472,1
962.487,558.265,1
962.862,557.881,1
963.487,557.714,1
963.992,557.456,1
964.183,556.984,1
964.519,556.432,1
964.301,556.138,1
964.325,555.798,1
964.013,555.372,1
964.333,555.21,1
966.561,554.83,1
968.14,554.277,1
967.391,554.256,1
967.298,554.443,1
967.597,553.821,1
968.232,553.579,1
968.522,552.931,1
968.721,552.34,1
968.576,551.932,1
969.031,551.694,1
968.899,551.679,1
969.669,551.488,1
969.266,551.199,1
969.138,550.975,1
969.227,551.009,1
968.927,551.125,1
969.288,551.069,1
969.724,550.856,1
970.016,550.87,1
970.14,550.954,1
969.672,550.989,1
969.621,551.376,1
969.904,551.554,1
969.901,551.84,1
970.045,551.682,1
969.943,550.544,1
969.539,550.168,1
969.321,550.802,1
969.173,551.129,1
969.099,551.008,1
969.279,550.871,1
969.035,550.013,1
968.901,549.355,1
968.89,549.823,1
968.55,550.166,1
967.792,550.217,1
967.002,550.217,1
966.525,550.463,1
966.385,550.388,1
966.775,549.927,1
967.118,549.092,1
967.442,548.112,1
967.747,547.527,1
968.2,547.053,1
968.136,546.251,1
968.898,546.089,1
969.105,545.997,1
968.867,545.804,1
968.158,545.855,1
968.096,546.228,1
967.806,546.704,1
967.605,547.136,1
967.185,547.195,1
966.857,547.409,1
966.372,547.433,1
966.379,547.19,1
966.257,546.916,1
966.422,546.542,1
966.416,546.391,1
966.441,546.842,1
966.271,547.343,1
965.878,547.821,1
965.938,547.822,1
966.15,547.797,1
966.084,547.675,1
966.175,546.87,1
966.115,546.451,1
965.982,547.121,1
966.073,547.82,1
966.168,547.922,1
965.776,547.895,1
965.945,547.108,1
966.199,546.765,1
966.793,547.597,1
966.945,548.097,1
967.598,548.392,1
968.497,548.522,1
969.889,548.854,1
970.964,549.187,1
970.972,550.151,1
970.41,551.21,1
969.416,552,1
969.682,552.865,1
969.331,553.658,1
969.071,554.723,1
969.1,555.234,1
969.045,555.68,1
969.195,555.318,1
969.194,554.682,1
969.088,553.842,1
969.491,553.085,1
969.801,552.145,1
970.01,551.741,1
970.365,550.994,1
970.933,550.107,1
970.91,549.592,1
971.334,549.414,1
971.752,548.865,1
971.494,548.65,1
971.638,548.852,1
971.625,548.902,1
971.635,548.903,1
971.595,549.311,1
971.503,549.413,1
971.58,549.532,1
971.462,549.497,1
971.515,549.565,1
971.225,549.609,1
971.135,549.562,1
971.062,549.199,1
970.995,549.109,1
971.015,549.037,1
971.134,548.963,1
971.291,548.976,1
971.043,549.216,1
971.048,549.356,1
971.133,549.265,1
970.723,549.627,1
969.937,550.152,1
968.18,550.559,1
965.426,550.896,1
961.396,551.162,1
958.27,552.305,1
957.5,553.849,1
958.112,555.121,1
958.058,556.159,1
957.993,556.993,1
957.951,557.106,1
957.624,556.991,1
957.034,556.405,1
957.013,555.464,1
956.916,554.128,1
957.308,553.482,1
957.609,552.779,1
956.583,552.113,1
955.354,551.145,1
954.814,549.697,1
954.24,548.668,1
953.948,548.055,1
954.096,548.403,1
954.159,549.111,1
953.74,549.772,1
952.724,549.729,1
952.363,549.351,1
952.236,548.848,1
952.852,548.619,1
952.801,548.907,1
952.768,549.574,1
952.358,550.396,1
952.546,550.938,1
952.852,551.156,1
953.32,551.226,1
953.342,549.676,1
953.071,548.911,1
953.007,549.369,1
952.717,549.2,1
952.65,548.746,1
952.956,548.229,1
953.634,547.754,1
953.775,547.913,1
953.395,548.053,1
952.949,548.117,1
952.294,547.961,1
952.556,547.4,1
952.716,547.307,1
952.699,547.597,1
952.841,548.279,1
952.717,548.573,1
952.325,548.514,1
951.518,546.838,1
950.566,546.858,1
950.77,547.733,1
951.166,548.169,1
952.218,548.238,1
953.098,548.563,1
953.763,548.5,1
954.212,548.595,1
954.715,548.948,1
954.537,548.915,1
954.753,548.679,1
955.537,548.374,1
956.054,548.453,1
956.451,547.813,1
957.012,547.653,1
957.168,547.22,1
957.342,546.778,1
957.589,546.618,1
958.289,546.648,1
957.931,546.65,1
958.453,546.635,1
958.646,546.699,1
958.651,546.764,1
958.642,546.77,1
958.547,546.849,1
958.477,547.126,1
958.532,547.079,1
958.851,546.954,1
