x,y,success
747.467,252.181,1
747.769,252.56,1
747.719,252.215,1
747.583,252.437,1
747.623,252.545,1
747.555,253.027,1
747.733,253.42,1
747.759,253.839,1
747.913,254.665,1
748.358,255.863,1
749.443,257.779,1
750.083,259.63,1
750.701,261.153,1
751.359,262.758,1
751.687,264.817,1
752.48,267.107,1
753.137,269.384,1
754.545,272.692,1
755.455,276.138,1
756.567,279.845,1
757.655,283.655,1
758.643,287.572,1
759.93,291.278,1
760.66,295.186,1
761.468,299.694,1
763.295,303.742,1
764.346,307.578,1
765.292,311.052,1
765.911,314.086,1
766.626,316.784,1
766.974,319.652,1
767.941,322.757,1
768.75,325.918,1
769.329,329.257,1
769.651,332.066,1
771.341,335.948,1
771.641,339.248,1
773.725,342.725,1
774.584,346.572,1
776.4,350.346,1
777.625,354.452,1
778.944,358.432,1
780.247,362.5,1
782.225,366.973,1
783.294,371.405,1
785.111,375.445,1
786.899,379.712,1
787.702,383.562,1
789.002,386.401,1
789.845,389.452,1
790.964,392.578,1
791.703,395.786,1
792.277,399.979,1
792.823,404.167,1
793.299,408.893,1
793.935,413.949,1
794.349,419.406,1
794.884,424.247,1
795.425,428.621,1
795.608,432.755,1
795.576,436.597,1
795.572,440.326,1
795.905,443.668,1
795.905,447.224,1
796.072,451.016,1
795.849,454.947,1
796.045,458.392,1
796.049,461.709,1
795.906,464.779,1
795.869,467.546,1
795.525,470.794,1
795.542,474.967,1
795.037,479.263,1
794.863,483.768,1
794.287,488.404,1
794.054,492.146,1
793.154,495.388,1
793.283,498.423,1
792.65,501.308,1
792.496,503.55,1
792.354,505.568,1
792.198,506.664,1
791.954,507.39,1
791.775,507.51,1
792.092,506.706,1
792.005,506.441,1
791.929,505.649,1
792.104,505.205,1
792.353,504.565,1
792.457,503.612,1
792.599,503.292,1
792.482,502.124,1
792.446,501.15,1
792.855,499.803,1
793.269,498.428,1
793.791,496.482,1
794.146,494.202,1
794.938,491.736,1
795.183,488.909,1
795.891,486.162,1
796.414,483.363,1
796.577,480.838,1
796.894,478.116,1
797.565,474.711,1
798.083,470.628,1
798.883,466.403,1
799.159,461.845,1
799.592,457.25,1
800.359,452.593,1
800.657,446.664,1
801.123,440.514,1
801.004,434.511,1
801.227,428.649,1
801.24,422.57,1
801.261,416.602,1
801.38,410.525,1
801.875,404.539,1
801.58,398.635,1
800.928,393.192,1
800.598,387.675,1
800.369,381.926,1
799.818,376.262,1
799.419,371.149,1
799.681,366.057,1
799.335,361.476,1
798.797,356.554,1
798.277,351.754,1
797.656,346.703,1
796.932,341.852,1
796.166,337.035,1
795.394,332.688,1
794.221,328.007,1
793.621,323.854,1
792.34,320.013,1
791.13,315.559,1
789.929,311.003,1
788.476,307.078,1
786.956,302.756,1
785.608,297.745,1
784.22,292.597,1
782.479,286.357,1
781.163,280.643,1
779.388,274.108,1
777.493,267.717,1
775.593,261.41,1
773.474,255.43,1
771.875,249.361,1
769.987,243.81,1
768.609,238.801,1
766.987,234.485,1
765.736,230.62,1
764.402,226.938,1
762.721,223.485,1
760.857,220.102,1
759.527,216.992,1
758.195,214.481,1
756.802,211.837,1
755.231,207.69,1
753.833,202.818,1
752.251,198.321,1
750.449,193.43,1
748.703,188.91,1
747.143,183.534,1
745.34,177.846,1
743.444,172.746,1
741.639,167.345,1
739.635,162.59,1
737.33,157.313,1
735.44,152.462,1
733.692,147.238,1
731,142.261,1
728.487,137.132,1
