 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
1,304,255,255,255,747.467,252.181,747.467,252.181,1
2,175,255,255,255,804.083,257.100,804.083,257.100,1
3,210,255,255,255,566.348,320.781,566.348,320.781,1
4,368,255,255,255,642.413,349.978,642.413,349.978,1
5,268,255,255,255,813.399,367.015,813.399,367.015,1
6,386,255,255,255,958.630,390.438,958.630,390.438,1
7,286,255,255,255,497.878,405.129,497.878,405.129,1
8,246,255,255,255,627.821,407.695,627.821,407.695,1
9,321,255,255,255,815.883,438.762,815.883,438.762,1
10,232,255,255,255,651.810,455.655,651.810,455.655,1
11,249,255,255,255,569.199,479.428,569.199,479.428,1
12,267,255,255,255,754.530,535.796,754.530,535.796,1
13,129,255,255,255,807.205,541.399,807.205,541.399,1
14,4,255,255,255,408,132.500,408,132.500,2
15,301,255,255,255,747.769,252.560,747.769,252.560,2
16,190,255,255,255,804.221,257.111,804.221,257.111,2
17,215,255,255,255,567.156,320.737,567.156,320.737,2
18,14,255,255,255,749.929,318.857,749.929,318.857,2
19,5,255,255,255,754.500,327.500,754.500,327.500,2
20,374,255,255,255,642.754,350.182,642.754,350.182,2
21,262,255,255,255,813.931,367.168,813.931,367.168,2
22,389,255,255,255,958.960,390.374,958.960,390.374,2
23,256,255,255,255,498.359,404.977,498.359,404.977,2
24,249,255,255,255,628.014,407.994,628.014,407.994,2
25,318,255,255,255,816.138,438.550,816.138,438.550,2
26,242,255,255,255,652.384,455.967,652.384,455.967,2
27,248,255,255,255,569.399,479.181,569.399,479.181,2
28,71,255,255,255,762.345,480.739,762.345,480.739,2
29,274,255,255,255,754.442,535.839,754.442,535.839,2
30,132,255,255,255,807.470,541.447,807.470,541.447,2
31,3,255,255,255,414.500,122.500,414.500,122.500,3
32,2,255,255,255,438.500,140,438.500,140,3
33,302,255,255,255,747.719,252.215,747.719,252.215,3
34,189,255,255,255,803.892,257.024,803.892,257.024,3
35,12,255,255,255,756.500,309.083,756.500,309.083,3
36,208,255,255,255,567.135,320.808,567.135,320.808,3
37,366,255,255,255,642.276,350.156,642.276,350.156,3
38,247,255,255,255,814.136,366.913,814.136,366.913,3
