 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
1,147,255,255,255,872.684,245.616,872.684,245.616,1
2,160,255,255,255,932.444,246.256,932.444,246.256,1
3,351,255,255,255,766.289,336.104,766.289,336.104,1
4,202,255,255,255,688.401,340.530,688.401,340.530,1
5,355,255,255,255,957.238,366.446,957.238,366.446,1
6,341,255,255,255,1062.339,384.125,1062.339,384.125,1
7,127,255,255,255,765.114,401.217,765.114,401.217,1
8,496,255,255,255,627.474,423.631,627.474,423.631,1
9,454,255,255,255,957.401,436.881,957.401,436.881,1
10,231,255,255,255,777.872,460.764,777.872,460.764,1
11,268,255,255,255,692.627,477.254,692.627,477.254,1
12,90,255,255,255,938.356,552.744,938.356,552.744,1
13,208,255,255,255,880.337,561.505,880.337,561.505,1
14,1,255,255,255,1025.500,189.500,1025.500,189.500,2
15,6,255,255,255,1068.333,239.167,1068.333,239.167,2
16,155,255,255,255,873.223,245.655,873.223,245.655,2
17,151,255,255,255,933.175,246.573,933.175,246.573,2
18,1,255,255,255,1097.500,251.500,1097.500,251.500,2
19,2,255,255,255,1120,275.500,1120,275.500,2
20,1,255,255,255,519.500,289.500,519.500,289.500,2
21,1,255,255,255,894.500,310.500,894.500,310.500,2
22,24,255,255,255,1164.250,330.917,1164.250,330.917,2
23,337,255,255,255,765.883,336.070,765.883,336.070,2
24,189,255,255,255,688.225,340.071,688.225,340.071,2
25,5,255,255,255,1162.300,350.100,1162.300,350.100,2
26,15,255,255,255,1146.833,352.233,1146.833,352.233,2
27,357,255,255,255,957.318,366.074,957.318,366.074,2
28,12,255,255,255,1126.583,364.917,1126.583,364.917,2
29,17,255,255,255,1164.676,371.912,1164.676,371.912,2
30,342,255,255,255,1062.246,383.971,1062.246,383.971,2
31,1,255,255,255,1184.500,377.500,1184.500,377.500,2
32,4,255,255,255,1158.500,384,1158.500,384,2
33,2,255,255,255,1180,384.500,1180,384.500,2
34,2,255,255,255,1184.500,392,1184.500,392,2
35,113,255,255,255,765.040,402.146,765.040,402.146,2
36,6,255,255,255,1174.167,408,1174.167,408,2
37,1,255,255,255,760.500,410.500,760.500,410.500,2
38,2,255,255,255,1183.500,412,1183.500,412,2
39,500,255,255,255,627.614,423.594,627.614,423.594,2
40,7,255,255,255,1183.500,418.786,1183.500,418.786,2
41,454,255,255,255,957.374,436.502,957.374,436.502,2
42,226,255,255,255,777.752,460.743,777.752,460.743,2
43,11,255,255,255,1138.682,466.136,1138.682,466.136,2
44,262,255,255,255,692.695,477.282,692.695,477.282,2
